"remotehost","rfc931","authuser","date","request","status","bytes"
"localhost","-","apache",1549573860.0,"GET /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573860.0,"GET /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573860.0,"GET /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573860.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573860.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573859.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573860.0,"POST /report HTTP/1.0",500.0,1307.0
"localhost","-","apache",1549573860.0,"POST /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573860.0,"GET /report HTTP/1.0",200.0,1194.0
"localhost","-","apache",1549573861.0,"GET /api/user HTTP/1.0",200.0,1136.0
"localhost","-","apache",1549573861.0,"GET /api/user HTTP/1.0",200.0,1194.0
"localhost","-","apache",1549573861.0,"GET /api/user HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573860.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573861.0,"GET /api/help HTTP/1.0",200.0,1194.0
"localhost","-","apache",1549573860.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573861.0,"GET /report HTTP/1.0",200.0,1136.0
"localhost","-","apache",1549573861.0,"POST /report HTTP/1.0",200.0,1136.0
"localhost","-","apache",1549573862.0,"GET /report HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573863.0,"POST /api/user HTTP/1.0",404.0,1307.0
"localhost","-","apache",1549573862.0,"GET /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573861.0,"GET /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573862.0,"GET /api/help HTTP/1.0",500.0,1136.0
"localhost","-","apache",1549573862.0,"POST /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573862.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573862.0,"GET /report HTTP/1.0",500.0,1194.0
"localhost","-","apache",1549573862.0,"GET /report HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573863.0,"GET /report HTTP/1.0",200.0,1194.0
"localhost","-","apache",1549573863.0,"GET /api/user HTTP/1.0",404.0,1234.0
"localhost","-","apache",1549573863.0,"GET /api/user HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573863.0,"GET /api/user HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573863.0,"GET /api/help HTTP/1.0",200.0,1136.0
"localhost","-","apache",1549573864.0,"POST /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573863.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573864.0,"POST /report HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573863.0,"POST /report HTTP/1.0",404.0,1307.0
"localhost","-","apache",1549573863.0,"POST /report HTTP/1.0",200.0,1194.0
"localhost","-","apache",1549573864.0,"POST /api/user HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573864.0,"POST /api/user HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573864.0,"GET /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573865.0,"GET /api/help HTTP/1.0",404.0,1234.0
"localhost","-","apache",1549573865.0,"POST /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573864.0,"GET /api/help HTTP/1.0",404.0,1136.0
"localhost","-","apache",1549573863.0,"POST /report HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573865.0,"GET /report HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573865.0,"GET /report HTTP/1.0",200.0,1194.0
"localhost","-","apache",1549573865.0,"GET /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573864.0,"GET /api/user HTTP/1.0",500.0,1136.0
"localhost","-","apache",1549573865.0,"GET /api/user HTTP/1.0",404.0,1234.0
"localhost","-","apache",1549573865.0,"POST /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573864.0,"POST /api/help HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573865.0,"GET /api/help HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573865.0,"GET /report HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573865.0,"GET /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573866.0,"GET /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573866.0,"GET /api/user HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573865.0,"GET /api/user HTTP/1.0",200.0,1194.0
"localhost","-","apache",1549573867.0,"POST /api/user HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573866.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573867.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573865.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573866.0,"GET /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573866.0,"POST /report HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573866.0,"GET /report HTTP/1.0",404.0,1234.0
"localhost","-","apache",1549573867.0,"GET /api/user HTTP/1.0",200.0,1136.0
"localhost","-","apache",1549573867.0,"POST /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573868.0,"GET /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573867.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573867.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573868.0,"GET /api/help HTTP/1.0",200.0,1136.0
"localhost","-","apache",1549573868.0,"GET /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573867.0,"GET /report HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573867.0,"GET /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573868.0,"GET /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573869.0,"GET /api/user HTTP/1.0",200.0,1136.0
"localhost","-","apache",1549573868.0,"POST /api/user HTTP/1.0",404.0,1234.0
"localhost","-","apache",1549573868.0,"GET /api/help HTTP/1.0",404.0,1234.0
"localhost","-","apache",1549573869.0,"POST /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573868.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573868.0,"GET /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573868.0,"GET /report HTTP/1.0",200.0,1194.0
"localhost","-","apache",1549573869.0,"POST /report HTTP/1.0",404.0,1234.0
"localhost","-","apache",1549573870.0,"GET /api/user HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573869.0,"GET /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573869.0,"GET /api/user HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573870.0,"GET /api/help HTTP/1.0",500.0,1234.0
"localhost","-","apache",1549573870.0,"POST /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573869.0,"GET /api/help HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573869.0,"GET /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573869.0,"POST /report HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573869.0,"GET /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573870.0,"GET /api/user HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573870.0,"GET /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573870.0,"GET /api/user HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573870.0,"GET /api/help HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573869.0,"GET /api/help HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573869.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573870.0,"GET /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573869.0,"GET /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573870.0,"GET /report HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573871.0,"GET /api/user HTTP/1.0",200.0,1194.0
"localhost","-","apache",1549573871.0,"GET /api/user HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573871.0,"GET /api/user HTTP/1.0",200.0,1307.0
"localhost","-","apache",1549573871.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573871.0,"GET /api/help HTTP/1.0",200.0,1261.0
"localhost","-","apache",1549573870.0,"GET /api/help HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573872.0,"POST /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573870.0,"POST /report HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573872.0,"GET /report HTTP/1.0",200.0,1136.0
"localhost","-","apache",1549573872.0,"POST /api/user HTTP/1.0",200.0,1194.0
"localhost","-","apache",1549573873.0,"GET /api/user HTTP/1.0",200.0,1234.0
"localhost","-","apache",1549573872.0,"GET /api/user HTTP/1.0",200.0,1234.0
